,property Name,address,city,state,zip,neighborhood,link,walk,transit,bike,sound
40,AVA Capitol Hill,1530 Belmont Ave,Seattle,WA,98122,Capitol Hill,https://www.apartments.com/ava-capitol-hill-seattle-wa/5whybzq/,100,94,79,63
41,Zindorf,714 7th Ave,Seattle,WA,98104,First Hill,https://www.apartments.com/zindorf-seattle-wa/cmkvh2e/,98,100,67,62
42,Elan 41,4100 SW Edmunds St SW,Seattle,WA,98116,Junction,https://www.apartments.com/elan-41-seattle-wa/84egbw0/,98,52,50,70
43,Leeward,1301 Dexter Ave,Seattle,WA,98109,Lake Union,https://www.apartments.com/leeward-seattle-wa/yqyql2t/,77,74,72,70
44,Ellie Passivhaus,320 Queen Anne Ave N,Seattle,WA,98109,Queen Anne,https://www.apartments.com/ellie-passivhaus-seattle-wa/cyc038g/,96,72,81,70
45,Sitka,1255 Harrison St,Seattle,WA,98109,South Lake Union,https://www.apartments.com/sitka-seattle-wa/5235n3m/,97,84,84,64
46,AMLI Mark24,2428 NW Market St,Seattle,WA,98107,Ballard,https://www.apartments.com/amli-mark24-seattle-wa/twk16f9/,97,52,98,68
47,Avanti,1401 Boren Ave,Seattle,WA,98101,First Hill,https://www.apartments.com/avanti-seattle-wa/s0dekb4/,99,100,72,61
48,Lane,10720 5th Ave NE,Seattle,WA,98125,Maple Leaf,https://www.apartments.com/lane-seattle-wa/s7wg576/,92,70,69,69
49,Rivet Apartments,1201 Mercer St,Seattle,WA,98109,South Lake Union,https://www.apartments.com/rivet-apartments-seattle-wa/ye5ck9r/,97,82,85,66
50,Vive,1516 NW 51st St,Seattle,WA,98107,Ballard,https://www.apartments.com/vive-seattle-wa/2nhksx8/,94,54,98,61
51,Saxton,520 Terry Ave,Seattle,WA,98104,First Hill,https://www.apartments.com/saxton-seattle-wa/zsf985y/,96,100,94,65
52,Row on Third,11301 3rd Ave NE,Seattle,WA,98125,Pinehurst,https://www.apartments.com/row-on-third-seattle-wa/vbyyv8e/,89,66,77,68
53,Helios,1600 2nd Ave,Seattle,WA,98101,Downtown Seattle,https://www.apartments.com/helios-seattle-wa/qb5scwx/,99,100,77,62
54,AMLI South Lake Union,1260 Republican St,Seattle,WA,98109,South Lake Union,https://www.apartments.com/amli-south-lake-union-seattle-wa/wec85fk/,96,82,81,64
55,Mark on 8th,285 8th Ave N,Seattle,WA,98109,South Lake Union,https://www.apartments.com/mark-on-8th-seattle-wa/j0fwr05/,97,89,78,66
56,Center Steps,225 Roy St,Seattle,WA,98109,Lower Queen Anne,https://www.apartments.com/center-steps-seattle-wa/j2gln57/,97,79,88,68
57,Premiere on Pine,1525 9th Ave,Seattle,WA,98101,Denny Triangle,https://www.apartments.com/premiere-on-pine-seattle-wa/rzcc5x1/,99,100,81,59
58,Odin,5398 Russell Ave NW,Seattle,WA,98107,Ballard,https://www.apartments.com/odin-seattle-wa/lqkg86d/,97,54,94,69
59,Olympus,2801 Western Ave,Seattle,WA,98121,Belltown,https://www.apartments.com/olympus-seattle-wa/vyeqn7d/,95,89,75,68
60,CityLine,4740 32nd Ave S,Seattle,WA,98118,Columbia City,https://www.apartments.com/cityline-seattle-wa/l4knj3g/,92,65,72,72
61,Cosmopolitan,400 NE 45th St,Seattle,WA,98105,Wallingford,https://www.apartments.com/cosmopolitan-seattle-wa/y8knpdr/,91,81,83,61
62,Avalon Belltown Towers,210 Wall St,Seattle,WA,98121,Belltown,https://www.apartments.com/avalon-belltown-towers-seattle-wa/lqg6zxd/,99,99,78,62
63,Broadstone Sky,4745 40th Ave,Seattle,WA,98116,Genesee,https://www.apartments.com/broadstone-sky-seattle-wa/nhhmrdp/,97,52,55,69
64,Metropolitan Park,601 S Washington St,Seattle,WA,98104,Chinatown,https://www.apartments.com/metropolitan-park-seattle-wa/xxyj11n/,98,100,72,63
65,The Blake Apartments,5020 California Ave SW,Seattle,WA,98136,Junction,https://www.apartments.com/the-blake-apartments-seattle-wa/mtjmxvl/,92,51,63,74
66,Griffis Belltown,2400 ELLIOTT Ave,Seattle,WA,98121,Belltown,https://www.apartments.com/griffis-belltown-seattle-wa/wp85ysj/,97,98,76,63
67,Charbern Apartment Homes,1705 Belmont Ave,Seattle,WA,98122,Capitol Hill,https://www.apartments.com/charbern-apartment-homes-seattle-wa/xhwycjn/,99,95,74,65
68,EdgePoint,320 N 85th St,Seattle,WA,98103,Greenwood,https://www.apartments.com/edgepoint-seattle-wa/h7wj141/,93,53,90,70
69,Cascade,221 Minor Ave N,Seattle,WA,98109,South Lake Union,https://www.apartments.com/cascade-seattle-wa/pwl4xcr/,99,85,66,
70,True North,801 Dexter Ave N,Seattle,WA,98109,South Lake Union,https://www.apartments.com/true-north-seattle-wa/cmr2y9e/,88,81,88,66
71,The Kennedy Building,907 NE 45th St,Seattle,WA,98105,University District,https://www.apartments.com/the-kennedy-building-seattle-wa/fd6hspr/,97,85,88,62
72,Via 6,2121 6th Ave,Seattle,WA,98121,Denny Triangle,https://www.apartments.com/via-6-seattle-wa/kcfv0lc/,99,100,77,64
73,Centennial Tower and Court,2515 4th Ave,Seattle,WA,98121,Belltown,https://www.apartments.com/centennial-tower-and-court-seattle-wa/49dmkrl/,99,97,86,62
74,Infinity Apartments,1414 10th Ave,Seattle,WA,98122,Capitol Hill,https://www.apartments.com/infinity-apartments-seattle-wa/yszd59t/,100,87,90,68
75,Harbor Steps,1221 1st Ave,Seattle,WA,98101,Downtown Seattle,https://www.apartments.com/harbor-steps-seattle-wa/f2k13cs/,98,100,76,63
76,Oakwood Residence Seattle South Lake Union,717 N Dexter Ave,Seattle,WA,98109,South Lake Union,https://www.apartments.com/oakwood-residence-seattle-south-lake-union-seattle-wa/995kg24/,88,81,88,64
77,Cyrene,50 University St,Seattle,WA,98101,Downtown Seattle,https://www.apartments.com/cyrene-seattle-wa/ykgx3qr/,98,100,83,63
78,Maris,4722 Fauntleroy Way SW,Seattle,WA,98116,Fairmount Park,https://www.apartments.com/maris-seattle-wa/cp18f9d/,93,52,50,68
